Diseases,Symptoms,Specialist,Weight
appendicitis,"sharp abdominal pain , diarrhea , burning abdominal pain , decreased appetite , side pain , upper abdominal pain , lower abdominal pain , fever , stomach bloating , vomiting , nausea",General surgeon,34
graves disease,"dizziness , abnormal involuntary movements , palpitations , irregular heartbeat , hemoptysis , sweating , involuntary urination",Endocrinologist,49
dissociative disorder,"anxiety and nervousness , back weakness , excessive anger , disturbance of memory , depressive or psychotic symptoms",Psychiatrist,71
open wound of the face,"wrist swelling , facial pain",Plastic surgeon,69
dislocation of the vertebra,"leg pain , elbow weakness , back pain , neck pain , low back pain",Orthopedic specialist,73
phimosis,"retention of urine , symptoms of the scrotum and testes , blood in urine , penis pain , penis redness , painful urination",Urologist,80
hyperemesis gravidarum,"sharp abdominal pain , nausea , diarrhea , pain during pregnancy , vomiting blood , burning abdominal pain , problems during pregnancy , dizziness , weakness , vomiting , headache",Obstetrician-Gynecologist,79
pregnancy,"pain during pregnancy , spotting or bleeding during pregnancy , cramps and spasms , uterine contractions , problems during pregnancy , pelvic pressure",Obstetrician-Gynecologist,55
thalassemia,"insomnia , elbow weakness",Hematologist,74
placenta previa,"involuntary urination , spotting or bleeding during pregnancy , pain during pregnancy , cramps and spasms",Obstetrician-Gynecologist,40
epidural hemorrhage,"depressive or psychotic symptoms , dizziness , emotional symptoms",Neurologist,43
septic arthritis,"leg pain , hip pain , knee pain , knee swelling , fever",Rheumatologist,42
athlete's foot,"abnormal appearing skin , skin lesion , foot or toe pain , irregular appearing nails , skin dryness, peeling, scaliness, or roughness , skin rash , skin swelling , foot or toe swelling",Dermatologist,40
pleural effusion,"shortness of breath , sharp chest pain , cough , sharp abdominal pain , back pain , hurts to breath , side pain , difficulty breathing , rib pain , weakness",Pulmonologist,70
aphakia,"symptoms of eye , spots or clouds in vision , eye burns or stings , diminished vision",Ophthalmologist,79
vulvar disorder,"vaginal itching , pain during intercourse , vaginal pain , skin dryness, peeling, scaliness, or roughness , vaginal discharge , vulvar irritation",Gynecologist,63
sialoadenitis,"sore throat , cough , facial pain , swollen lymph nodes , peripheral edema , neck mass , jaw swelling , neck swelling , nasal congestion",Otolaryngologist,62
gynecomastia,"back pain , neck pain , bones are painful , lump or mass of breast , skin swelling , problems with shape or size of breast , pain or soreness of breast",Endocrinologist,80
urinary tract infection,"retention of urine , vomiting , painful urination , frequent urination , back pain , suprapubic pain , nausea , blood in urine , side pain , lower abdominal pain , fever",Urologist,38
histoplasmosis,"cough , elbow weakness , lacrimation",Infectious disease specialist,37
erythema multiforme,"vomiting , mouth ulcer , skin rash , difficulty in swallowing , fever",Dermatologist,78
scoliosis,"back pain , leg pain , knee swelling , knee stiffness or tightness , low back pain , problems with movement , lower body pain",Orthopedic specialist,45
bunion,"skin growth , knee pain , foot or toe pain , skin moles , foot or toe lump or mass",Podiatrist,34
arrhythmia,"shortness of breath , sharp chest pain , chest tightness , palpitations , leg cramps or spasms , dizziness , fainting , fatigue",Cardiologist,82
trigeminal neuralgia,"dizziness , abnormal involuntary movements , headache , facial pain , toothache , symptoms of the face , pain in eye",Neurologist,56
ankylosing spondylitis,"leg pain , hip pain , back pain , low back pain , elbow pain , paresthesia , stiffness all over , knee pain , ache all over , lower body pain",Rheumatologist,39
peripheral nerve disorder,"dizziness , abnormal involuntary movements , leg pain , back pain , foot or toe pain , problems with movement , loss of sensation , disturbance of memory , arm pain , paresthesia , arm weakness , leg weakness",Neurologist,36
sebaceous cyst,"skin swelling , abnormal appearing skin , skin lesion , acne or pimples , skin growth , back mass or lump , arm lump or mass , hand or finger lump or mass , irregular appearing scalp , neck mass , skin moles",Dermatologist,58
poisoning due to antipsychotics,"anxiety and nervousness , sharp chest pain , delusions or hallucinations",Toxicologist,97
neurosis,"insomnia , smoking problems , delusions or hallucinations , obsessions and compulsions , anxiety and nervousness , depressive or psychotic symptoms , hostile behavior , drug abuse , headache , depression , excessive anger",Psychiatrist,47
prostate cancer,"retention of urine , involuntary urination , pain during intercourse , symptoms of prostate , flushing , blood in urine , impotence , excessive urination at night",Urologist,76
cerebral edema,"dizziness , vomiting , neck pain , focal weakness , arm pain , headache",Neurologist,36
dislocation of the finger,"wrist pain , hand or finger swelling , difficulty speaking , hand or finger pain , hand or finger stiffness or tightness",Orthopedic specialist,58
birth trauma,"depressive or psychotic symptoms , emotional symptoms , arm stiffness or tightness",Pediatrician,73
chronic pancreatitis,"vomiting , nausea , skin growth , ache all over , abusing alcohol , sharp abdominal pain , diarrhea , back pain",Gastroenterologist,85
hematoma,"swelling of scrotum , arm swelling , skin swelling , sharp abdominal pain , ache all over",Emergency medicine specialist,86
carcinoid syndrome,"involuntary urination , knee lump or mass",Endocrinologist,45
open wound of the head,"abusing alcohol , headache",Neurosurgeon,30
seborrheic keratosis,"skin growth , irregular appearing scalp , skin moles , skin swelling , skin lesion , acne or pimples , itching of skin , skin irritation , warts , skin rash , abnormal appearing skin",Dermatologist,38
burn,"wrist pain , wrist swelling , knee pain , headache , hand or finger pain , skin irritation",Burn specialist,67
spontaneous abortion,"sharp abdominal pain , lower abdominal pain , intermenstrual bleeding , pelvic pain , burning abdominal pain , problems during pregnancy , pain during pregnancy , spotting or bleeding during pregnancy , blood clots during menstrual periods , heavy menstrual flow , cramps and spasms , uterine contractions",Obstetrician-Gynecologist,59
genital herpes,"vaginal itching , skin lesion , recent pregnancy , skin rash , painful urination , vaginal discharge , suprapubic pain",Infectious disease specialist,54
adjustment reaction,"hostile behavior , restlessness , excessive anger , delusions or hallucinations , depression , insomnia , fears and phobias , anxiety and nervousness , nightmares",Psychiatrist,67
gallstone,"sharp abdominal pain , burning abdominal pain , heartburn , regurgitation.1 , sharp chest pain , upper abdominal pain , vomiting , lower body pain , nausea , back pain , side pain",Gastroenterologist,48
multiple sclerosis,"dizziness , headache , weakness , loss of sensation , paresthesia , abnormal involuntary movements , problems with movement , fatigue , disturbance of memory , leg weakness , focal weakness",Neurologist,35
zenker diverticulum,"sharp chest pain , sore throat , elbow weakness",Gastroenterologist,89
fracture of the pelvis,"difficulty speaking , hip pain , back pain , knee pain , leg pain , ache all over , groin pain",Orthopedic specialist,73
pneumoconiosis,"shortness of breath , dizziness , cough , fever",Pulmonologist,56
hyperlipidemia,"sharp chest pain , smoking problems , weight gain",Cardiologist,35
ulcerative colitis,"nausea , diarrhea , swollen lymph nodes , rectal bleeding , sharp abdominal pain , vomiting , lower abdominal pain , burning abdominal pain , blood in stool",Gastroenterologist,85
male genitalia infection,"swelling of scrotum , pain in testicles , irritable infant , abnormal appearing skin , mass in scrotum , bumps on penis",Urologist,87
hpv,"vaginal itching , involuntary urination , warts",Infectious disease specialist,38
angina,"dizziness , chest tightness , irregular heartbeat , hot flashes , palpitations , increased heart rate , lower body pain , shortness of breath , sharp chest pain , sweating , arm pain",Cardiologist,34
injury to the spinal cord,"retention of urine , back pain , headache , neck pain",Neurologist,34
nasal polyp,"hoarse voice , cough , headache , frontal headache , allergic reaction , painful sinuses , nasal congestion , facial pain",ENT specialist,34
lichen simplex,"difficulty speaking , vaginal itching , skin lesion , itching of skin , skin rash",Dermatologist,56
trichiasis,"emotional symptoms , diminished vision , foreign body sensation in eye , eye redness , eyelid lesion or rash",Ophthalmologist,34
acariasis,"emotional symptoms , swelling of scrotum , itching of skin , skin rash",Dermatologist,51
colorectal cancer,"blood in stool , sharp abdominal pain , rectal bleeding , pain of the anus , drainage in throat , mass or swelling around the anus",Gastroenterologist,81
skin pigmentation disorder,"skin swelling , skin lesion , acne or pimples , irregular appearing scalp , skin moles , skin dryness, peeling, scaliness, or roughness , warts , skin rash , skin growth , itching of skin , abnormal appearing skin",Dermatologist,86
factitious disorder,"depression , depressive or psychotic symptoms , elbow weakness , disturbance of memory",Psychiatrist,49
lymphogranuloma venereum,"sore throat , ear pain , knee lump or mass",Infectious disease specialist,43
galactorrhea of unknown cause,"anxiety and nervousness , emotional symptoms , pain or soreness of breast , bleeding or discharge from nipple",Endocrinologist,70
g6pd enzyme deficiency,"cough , emotional symptoms",Hematologist,84
nerve impingement near the shoulder,"hand or finger stiffness or tightness , elbow pain , problems with movement , shoulder weakness , neck pain , shoulder pain , arm pain , shoulder stiffness or tightness",Orthopedic specialist,61
toxoplasmosis,"emotional symptoms , diminished vision",Infectious disease specialist,88
fibroadenoma,"vaginal dryness , hot flashes , pain or soreness of breast , lump or mass of breast , bones are painful , bleeding or discharge from nipple",Oncologist,39
open wound of the hand,"hand or finger pain , hand or finger stiffness or tightness , skin on arm or hand looks infected , hand or finger swelling",Orthopedic specialist,73
missed abortion,"blood in stool , lower abdominal pain , intermenstrual bleeding , pain during pregnancy , problems during pregnancy , spotting or bleeding during pregnancy , sharp abdominal pain , cramps and spasms , blood clots during menstrual periods",Obstetrician-Gynecologist,68
diabetic ketoacidosis,"depressive or psychotic symptoms , vomiting , diarrhea , decreased appetite , fluid retention , sharp chest pain , sharp abdominal pain , frequent urination , weakness , nausea",Endocrinologist,73
granuloma inguinale,"sharp chest pain , knee lump or mass",Infectious disease specialist,38
obsessive compulsive disorder (ocd),"depression , depressive or psychotic symptoms , hostile behavior , temper problems , lack of growth , feeling ill , low self-esteem , obsessions and compulsions , anxiety and nervousness",Psychiatrist,32
injury of the ankle,"wrist swelling , foot or toe pain , ankle pain , foot or toe swelling , joint pain , foot or toe weakness , ankle swelling , leg pain",Orthopedic specialist,68
hyponatremia,"shortness of breath , sharp chest pain , fainting , sharp abdominal pain , vomiting , back pain , nausea , weakness , seizures",Nephrologist,71
stricture of the esophagus,"difficulty in swallowing , problems with movement , heartburn , sharp chest pain , vomiting , regurgitation.1",Gastroenterologist,78
fracture of the ankle,"leg pain , foot or toe pain , ankle pain , knee weakness , ankle swelling , ankle weakness , foot or toe swelling",Orthopedic specialist,63
soft tissue sarcoma,"groin mass , skin lesion , skin growth , skin dryness, peeling, scaliness, or roughness , skin moles , abnormal appearing skin , itching of skin",Oncologist,79
bone disorder,"difficulty speaking , leg pain , back pain , bones are painful , leg cramps or spasms , knee pain , muscle stiffness or tightness",Orthopedic specialist,50
epilepsy,"abnormal involuntary movements , difficulty speaking , lack of growth , disturbance of memory , seizures , headache , muscle weakness",Neurologist,81
personality disorder,"anxiety and nervousness , insomnia , hostile behavior , drug abuse , excessive anger , fears and phobias , low self-esteem , depression , temper problems , depressive or psychotic symptoms , delusions or hallucinations",Psychiatrist,32
shingles (herpes zoster),"headache , abnormal appearing skin , facial pain , itching of skin , skin rash , sharp chest pain , skin lesion , pain in eye , back pain",Dermatologist,84
tourette syndrome,"abnormal involuntary movements , drug abuse , headache , allergic reaction , depressive or psychotic symptoms",Neurologist,46
avascular necrosis,"hip pain , drug abuse , knee pain , shoulder pain",Orthopedic specialist,49
strep throat,"nasal congestion , difficulty in swallowing , vomiting , headache , decreased appetite , ache all over , chills , sore throat , cough , fever , ear pain , skin rash",ENT specialist,68
spinocerebellar ataxia,"anxiety and nervousness , abnormal involuntary movements , problems with movement , dizziness",Neurologist,58
osteomyelitis,"difficulty speaking , skin lesion , bones are painful , skin on leg or foot looks infected , hand or finger swelling , arm swelling , hand or finger pain",Orthopedic specialist,32
sjogren syndrome,"difficulty in swallowing , symptoms of eye , pain in eye , diminished vision , ache all over , joint pain",Rheumatologist,53
adhesive capsulitis of the shoulder,"arm pain , neck pain , shoulder stiffness or tightness , ache all over , muscle pain , shoulder pain",Orthopedic specialist,57
viral hepatitis,"abusing alcohol , hand or finger stiffness or tightness , stomach bloating , sharp abdominal pain , melena",Infectious disease specialist,46
tonsillar hypertrophy,"cough , fever , abnormal breathing sounds , redness in ear , sore throat , difficulty in swallowing , nasal congestion , apnea",ENT specialist,85
gastritis,"sharp chest pain , sharp abdominal pain , vomiting , diarrhea , burning abdominal pain , regurgitation.1 , headache , nausea , fever , vomiting blood",Gastroenterologist,45
skin cancer,"skin swelling , lip swelling , abnormal appearing skin , skin moles , skin irritation , warts , skin lesion , skin growth , irregular appearing scalp , skin dryness, peeling, scaliness, or roughness",Oncologist,66
rheumatic fever,"knee lump or mass , itchiness of eye",Cardiologist,42
aphthous ulcer,"headache , toothache , fever , cough , tongue lesions , mouth pain , mouth ulcer , sore throat",Dentist,64
tonsillitis,"sore throat , lump in throat , throat redness , nasal congestion , diminished hearing , throat feels tight , abnormal breathing sounds , redness in ear , swollen or red tonsils",ENT specialist,73
intestinal cancer,"throat feels tight , sharp abdominal pain , foot or toe swelling , diarrhea , neck mass",Oncologist,67
rocky mountain spotted fever,"headache , wrist pain",Infectious disease specialist,86
stomach cancer,"difficulty in swallowing , sharp abdominal pain , diarrhea , vomiting , nausea , heartburn , burning abdominal pain",Oncologist,69
developmental disability,"depressive or psychotic symptoms , hostile behavior , restlessness , seizures , temper problems , obsessions and compulsions , difficulty speaking , fears and phobias , lack of growth , delusions or hallucinations , antisocial behavior",Pediatrician,38
acute stress reaction,"anxiety and nervousness , depressive or psychotic symptoms , sharp chest pain , dizziness , insomnia , burning abdominal pain , fatigue , depression , headache , abnormal involuntary movements , shortness of breath",Psychiatrist,68
delirium,"depression , depressive or psychotic symptoms , abnormal involuntary movements , difficulty speaking , problems with movement , slurring words , disturbance of memory , focal weakness , hostile behavior , delusions or hallucinations",Neurologist,40
callus,"abnormal appearing skin , skin growth , foot or toe pain , irregular appearing nails , skin rash , skin swelling , acne or pimples , foot or toe swelling , skin lesion",Dermatologist,57
guillain barre syndrome,"dizziness , difficulty speaking , leg pain , hand or finger pain , loss of sensation",Neurologist,58
lumbago,"hip pain , low back pain , side pain , low back cramps or spasms , leg pain , back pain , muscle pain",Orthopedic specialist,53
deviated nasal septum,"sore throat , nasal congestion , headache , facial pain , difficulty breathing , apnea , painful sinuses , nosebleed , abnormal breathing sounds , allergic reaction",ENT specialist,59
hemangioma,"lip swelling , skin moles , skin swelling , skin lesion , irregular appearing scalp , lymphedema , abnormal appearing skin , irregular appearing nails , skin dryness, peeling, scaliness, or roughness , skin growth",Dermatologist,86
peripheral arterial disease,"leg pain , leg cramps or spasms , lymphedema , skin lesion , foot or toe pain , feeling cold , symptoms of the kidneys , poor circulation",Cardiologist,66
chronic back pain,"low back pain , loss of sensation , side pain , back cramps or spasms , back stiffness or tightness , leg pain , back pain , lower body pain , hip pain , neck pain , groin pain",Pain Management Specialist,46
heart failure,"sharp chest pain , cough , leg swelling , difficulty breathing , shortness of breath , chest tightness , weight gain , weakness , palpitations , hurts to breath , fluid retention",Cardiologist,78
conjunctivitis,"sore throat , cough , itchiness of eye , coryza , swollen eye , white discharge from eye , pain in eye , lacrimation , nasal congestion , eye redness , fever",Ophthalmologist,80
herniated disk,"leg pain , arm pain , back pain , neck pain , shoulder pain , arm weakness , leg weakness , low back pain , paresthesia , hip pain , loss of sensation",Neurologist,72
rhabdomyolysis,"depressive or psychotic symptoms , leg pain , arm pain , hoarse voice , sharp chest pain",Nephrologist,44
breast infection (mastitis),"bleeding or discharge from nipple , fever , lump or mass of breast , skin growth , mouth dryness , pain or soreness of breast , abnormal appearing skin , chills , postpartum problems of the breast",General surgeon,77
abdominal aortic aneurysm,"shortness of breath , palpitations , back pain , sharp abdominal pain , arm swelling , burning abdominal pain",Vascular surgeon,88
pulmonary embolism,"chest tightness , leg pain , leg swelling , difficulty breathing , shortness of breath , weakness , side pain , sharp chest pain , cough , hemoptysis , sweating",Pulmonologist,81
conduct disorder,"depression , depressive or psychotic symptoms , lack of growth , hostile behavior , hysterical behavior , abusing alcohol , fainting , seizures , excessive anger , temper problems",Psychiatrist,42
mastectomy,"arm stiffness or tightness , pain or soreness of breast , skin swelling",General surgeon,66
epididymitis,"swelling of scrotum , sharp abdominal pain , painful urination , side pain , retention of urine , pain in testicles , lower body pain , groin pain , mass in scrotum",Urologist,38
premature rupture of amniotic membrane,"elbow weakness , sharp abdominal pain , uterine contractions",Obstetrician,65
molluscum contagiosum,"abnormal appearing skin , knee lump or mass , warts , skin swelling , skin dryness, peeling, scaliness, or roughness , itching of skin , skin lesion , acne or pimples , skin rash",Dermatologist,35
necrotizing fasciitis,"leg pain , hip pain , elbow weakness",Infectious disease specialist,63
benign vaginal discharge (leukorrhea),"suprapubic pain , sharp abdominal pain , vaginal itching , painful urination , vaginal discharge , vaginal redness , pain during pregnancy , burning abdominal pain , problems during pregnancy , frequent urination",Gynecologist,83
bladder obstruction,"impotence , symptoms of bladder , hesitancy , involuntary urination , frequent urination , retention of urine , suprapubic pain , bedwetting",Urologist,60
melanoma,"skin swelling , abnormal appearing skin , skin lesion , swollen lymph nodes , skin growth , skin moles , itchy eyelid , irregular appearing scalp",Dermatologist,82
cervical disorder,"sharp abdominal pain , vaginal itching , pain during intercourse , pelvic pain",Neurologist,87
laryngitis,"hoarse voice , sore throat , throat feels tight , fever , coryza , difficulty speaking , cough , nasal congestion , ear pain , difficulty in swallowing",ENT specialist,56
dyshidrosis,"frequent urination , skin lesion , skin rash , abnormal appearing skin , acne or pimples",Dermatologist,61
poisoning due to opioids,"dizziness , difficulty speaking , drug abuse , depressive or psychotic symptoms",Toxicologist,91
diaper rash,"vomiting , diarrhea , fever , temper problems , skin rash , diaper rash , cough , nasal congestion , blood in stool , irritable infant , pulling at ears",Pediatrician,44
lichen planus,"difficulty speaking , abnormal appearing skin , skin growth",Dermatologist,34
gastroduodenal ulcer,"sharp chest pain , blood in stool , sharp abdominal pain , vomiting blood , burning abdominal pain , upper abdominal pain , changes in stool appearance , nausea , heartburn , vomiting",Gastroenterologist,30
inguinal hernia,"symptoms of the scrotum and testes , swelling of scrotum , mass in scrotum , lower abdominal pain , ache all over , swollen abdomen , groin pain , sharp abdominal pain , groin mass , pain in testicles",General surgeon,51
eczema,"skin lesion , irregular appearing scalp , skin irritation , skin rash , cough , skin swelling , abnormal appearing skin , itching of skin , skin dryness, peeling, scaliness, or roughness , acne or pimples , allergic reaction , warts",Neurologist,76
asperger syndrome,"hostile behavior , excessive anger , lack of growth , fainting , anxiety and nervousness , depressive or psychotic symptoms , antisocial behavior , depression",Geneticist,30
mucositis,"difficulty in swallowing , irritable infant , fever , mouth pain , sore throat , tongue lesions , mouth ulcer , decreased appetite",Oncologist,78
paronychia,"hand or finger swelling , foot or toe pain , hand or finger lump or mass , skin on leg or foot looks infected , sinus congestion , skin on arm or hand looks infected , hand or finger pain , foot or toe swelling , abnormal appearing skin",Dermatologist,79
open wound of the jaw,"wrist swelling , lip swelling",Oral and maxillofacial surgeon,71
white blood cell disease,"cough , sharp abdominal pain , vomiting , chills , fatigue , nausea , heartburn , fever , diarrhea",medical oncologist,75
kaposi sarcoma,"depression , elbow weakness",medical oncologist,46
spondylolisthesis,"leg pain , neck pain , low back pain , problems with movement , loss of sensation , paresthesia , leg weakness , hip pain , back pain , leg cramps or spasms",Orthopedic Specialist,78
pseudotumor cerebri,"dizziness , abnormal involuntary movements , headache , diminished vision , pain in eye",Neurologist,52
conjunctivitis due to virus,"cough , nasal congestion , white discharge from eye , eye redness , lacrimation , fever , pain in eye , itchiness of eye , swollen eye , diminished vision",Ophthalmologist,75
open wound of the nose,"diminished hearing , facial pain , nosebleed , headache",ENT Specialist,81
AIDS,"muscle wasting, patches in throat, high fever, extra marital contacts",infectious disease specialists.,33
Primary Symptoms 1,Fever,General Physician,6
Primary Symptoms 2,Cough,General Physician,5
Primary Symptoms 3,Cold & Flu,General Physician,4
Primary Symptoms 4,Breathing Issues,Pulmonologist,8
Primary Symptoms 5,Asthma,Pulmonologist,8
Primary Symptoms 6,Sore Throat,General Physician,4
Primary Symptoms 7,Headache,General Physician,5
Primary Symptoms 8,Migraine,Neurologist,7
Primary Symptoms 9,Sinus Infection,ENT Specialist,6
Primary Symptoms 10,Chest Pain,General Physician,9
Primary Symptoms 11,High Blood Pressure,General Physician,8
Primary Symptoms 12,Diabetes,General Physician,7
Primary Symptoms 13,Stomach Pain,Gastroenterologist,6
Primary Symptoms 14,Acidity & GERD,Gastroenterologist,5
Primary Symptoms 15,Diarrhea,Gastroenterologist,6
Primary Symptoms 16,Constipation,Gastroenterologist,4
Primary Symptoms 17,Urinary Infection (UTI),Urologist,7
Primary Symptoms 18,Joint Pain,Orthopedic Surgeon,6
Primary Symptoms 19,"Skin Issues (Rashes, Allergies)",Dermatologist,3
Primary Symptoms 20,Anxiety & Depression,Psychiatrist,7
Primary Symptoms 21,Sleep Disorders,Neurologist,6
