ll ,Symptoms,Specialist
sebaceous cyst,"skin swelling , abnormal appearing skin , skin lesion , acne or pimples , skin growth , back mass or lump , arm lump or mass , hand or finger lump or mass , irregular appearing scalp , neck mass , skin moles",General Practitioner
poisoning due to antipsychotics,"anxiety and nervousness , sharp chest pain , delusions or hallucinations",General Practitioner
neurosis,"insomnia , smoking problems , delusions or hallucinations , obsessions and compulsions , anxiety and nervousness , depressive or psychotic symptoms , hostile behavior , drug abuse , headache , depression , excessive anger",General Practitioner
prostate cancer,"retention of urine , involuntary urination , pain during intercourse , symptoms of prostate , flushing , blood in urine , impotence , excessive urination at night",Oncologist
cerebral edema,"dizziness , vomiting , neck pain , focal weakness , arm pain , headache",General Practitioner
dislocation of the finger,"wrist pain , hand or finger swelling , difficulty speaking , hand or finger pain , hand or finger stiffness or tightness",General Practitioner
birth trauma,"depressive or psychotic symptoms , emotional symptoms , arm stiffness or tightness",General Practitioner
chronic pancreatitis,"vomiting , nausea , skin growth , ache all over , abusing alcohol , sharp abdominal pain , diarrhea , back pain",General Practitioner
hematoma,"swelling of scrotum , arm swelling , skin swelling , sharp abdominal pain , ache all over",General Practitioner
carcinoid syndrome,"involuntary urination , knee lump or mass",Geneticist
open wound of the head,"abusing alcohol , headache",General Practitioner
seborrheic keratosis,"skin growth , irregular appearing scalp , skin moles , skin swelling , skin lesion , acne or pimples , itching of skin , skin irritation , warts , skin rash , abnormal appearing skin",General Practitioner
burn,"wrist pain , wrist swelling , knee pain , headache , hand or finger pain , skin irritation",General Practitioner
spontaneous abortion,"sharp abdominal pain , lower abdominal pain , intermenstrual bleeding , pelvic pain , burning abdominal pain , problems during pregnancy , pain during pregnancy , spotting or bleeding during pregnancy , blood clots during menstrual periods , heavy menstrual flow , cramps and spasms , uterine contractions",General Practitioner
genital herpes,"vaginal itching , skin lesion , recent pregnancy , skin rash , painful urination , vaginal discharge , suprapubic pain",General Practitioner
adjustment reaction,"hostile behavior , restlessness , excessive anger , delusions or hallucinations , depression , insomnia , fears and phobias , anxiety and nervousness , nightmares",General Practitioner
gallstone,"sharp abdominal pain , burning abdominal pain , heartburn , regurgitation.1 , sharp chest pain , upper abdominal pain , vomiting , lower body pain , nausea , back pain , side pain",General Practitioner
multiple sclerosis,"dizziness , headache , weakness , loss of sensation , paresthesia , abnormal involuntary movements , problems with movement , fatigue , disturbance of memory , leg weakness , focal weakness",General Practitioner
zenker diverticulum,"sharp chest pain , sore throat , elbow weakness",General Practitioner
fracture of the pelvis,"difficulty speaking , hip pain , back pain , knee pain , leg pain , ache all over , groin pain",Orthopedic Surgeon
pneumoconiosis,"shortness of breath , dizziness , cough , fever",General Practitioner
hyperlipidemia,"sharp chest pain , smoking problems , weight gain",General Practitioner
ulcerative colitis,"nausea , diarrhea , swollen lymph nodes , rectal bleeding , sharp abdominal pain , vomiting , lower abdominal pain , burning abdominal pain , blood in stool",General Practitioner
male genitalia infection,"swelling of scrotum , pain in testicles , irritable infant , abnormal appearing skin , mass in scrotum , bumps on penis",Infectious Disease Specialist
hpv,"vaginal itching , involuntary urination , warts",General Practitioner
angina,"dizziness , chest tightness , irregular heartbeat , hot flashes , palpitations , increased heart rate , lower body pain , shortness of breath , sharp chest pain , sweating , arm pain",General Practitioner
injury to the spinal cord,"retention of urine , back pain , headache , neck pain",Traumatologist
nasal polyp,"hoarse voice , cough , headache , frontal headache , allergic reaction , painful sinuses , nasal congestion , facial pain",ENT Specialist
lichen simplex,"difficulty speaking , vaginal itching , skin lesion , itching of skin , skin rash",General Practitioner
trichiasis,"emotional symptoms , diminished vision , foreign body sensation in eye , eye redness , eyelid lesion or rash",General Practitioner
acariasis,"emotional symptoms , swelling of scrotum , itching of skin , skin rash",General Practitioner
colorectal cancer,"blood in stool , sharp abdominal pain , rectal bleeding , pain of the anus , drainage in throat , mass or swelling around the anus",Oncologist
skin pigmentation disorder,"skin swelling , skin lesion , acne or pimples , irregular appearing scalp , skin moles , skin dryness, peeling, scaliness, or roughness , warts , skin rash , skin growth , itching of skin , abnormal appearing skin",Psychiatrist
factitious disorder,"depression , depressive or psychotic symptoms , elbow weakness , disturbance of memory",Psychiatrist
lymphogranuloma venereum,"sore throat , ear pain , knee lump or mass",General Practitioner
galactorrhea of unknown cause,"anxiety and nervousness , emotional symptoms , pain or soreness of breast , bleeding or discharge from nipple",General Practitioner
g6pd enzyme deficiency,"cough , emotional symptoms",General Practitioner
nerve impingement near the shoulder,"hand or finger stiffness or tightness , elbow pain , problems with movement , shoulder weakness , neck pain , shoulder pain , arm pain , shoulder stiffness or tightness",General Practitioner
toxoplasmosis,"emotional symptoms , diminished vision",General Practitioner
fibroadenoma,"vaginal dryness , hot flashes , pain or soreness of breast , lump or mass of breast , bones are painful , bleeding or discharge from nipple",General Practitioner
open wound of the hand,"hand or finger pain , hand or finger stiffness or tightness , skin on arm or hand looks infected , hand or finger swelling",General Practitioner
missed abortion,"blood in stool , lower abdominal pain , intermenstrual bleeding , pain during pregnancy , problems during pregnancy , spotting or bleeding during pregnancy , sharp abdominal pain , cramps and spasms , blood clots during menstrual periods",General Practitioner
diabetic ketoacidosis,"depressive or psychotic symptoms , vomiting , diarrhea , decreased appetite , fluid retention , sharp chest pain , sharp abdominal pain , frequent urination , weakness , nausea",Endocrinologist
granuloma inguinale,"sharp chest pain , knee lump or mass",General Practitioner
obsessive compulsive disorder (ocd),"depression , depressive or psychotic symptoms , hostile behavior , temper problems , lack of growth , feeling ill , low self-esteem , obsessions and compulsions , anxiety and nervousness",Psychiatrist
injury of the ankle,"wrist swelling , foot or toe pain , ankle pain , foot or toe swelling , joint pain , foot or toe weakness , ankle swelling , leg pain",Traumatologist
hyponatremia,"shortness of breath , sharp chest pain , fainting , sharp abdominal pain , vomiting , back pain , nausea , weakness , seizures",General Practitioner
stricture of the esophagus,"difficulty in swallowing , problems with movement , heartburn , sharp chest pain , vomiting , regurgitation.1",General Practitioner
fracture of the ankle,"leg pain , foot or toe pain , ankle pain , knee weakness , ankle swelling , ankle weakness , foot or toe swelling",Orthopedic Surgeon
soft tissue sarcoma,"groin mass , skin lesion , skin growth , skin dryness, peeling, scaliness, or roughness , skin moles , abnormal appearing skin , itching of skin",General Practitioner
bone disorder,"difficulty speaking , leg pain , back pain , bones are painful , leg cramps or spasms , knee pain , muscle stiffness or tightness",Psychiatrist
epilepsy,"abnormal involuntary movements , difficulty speaking , lack of growth , disturbance of memory , seizures , headache , muscle weakness",General Practitioner
personality disorder,"anxiety and nervousness , insomnia , hostile behavior , drug abuse , excessive anger , fears and phobias , low self-esteem , depression , temper problems , depressive or psychotic symptoms , delusions or hallucinations",Psychiatrist
shingles (herpes zoster),"headache , abnormal appearing skin , facial pain , itching of skin , skin rash , sharp chest pain , skin lesion , pain in eye , back pain",General Practitioner
tourette syndrome,"abnormal involuntary movements , drug abuse , headache , allergic reaction , depressive or psychotic symptoms",Geneticist
avascular necrosis,"hip pain , drug abuse , knee pain , shoulder pain",General Practitioner
strep throat,"nasal congestion , difficulty in swallowing , vomiting , headache , decreased appetite , ache all over , chills , sore throat , cough , fever , ear pain , skin rash",General Practitioner
spinocerebellar ataxia,"anxiety and nervousness , abnormal involuntary movements , problems with movement , dizziness",General Practitioner
osteomyelitis,"difficulty speaking , skin lesion , bones are painful , skin on leg or foot looks infected , hand or finger swelling , arm swelling , hand or finger pain",General Practitioner
sjogren syndrome,"difficulty in swallowing , symptoms of eye , pain in eye , diminished vision , ache all over , joint pain",Geneticist
adhesive capsulitis of the shoulder,"arm pain , neck pain , shoulder stiffness or tightness , ache all over , muscle pain , shoulder pain",General Practitioner
viral hepatitis,"abusing alcohol , hand or finger stiffness or tightness , stomach bloating , sharp abdominal pain , melena",General Practitioner
tonsillar hypertrophy,"cough , fever , abnormal breathing sounds , redness in ear , sore throat , difficulty in swallowing , nasal congestion , apnea",General Practitioner
gastritis,"sharp chest pain , sharp abdominal pain , vomiting , diarrhea , burning abdominal pain , regurgitation.1 , headache , nausea , fever , vomiting blood",General Practitioner
skin cancer,"skin swelling , lip swelling , abnormal appearing skin , skin moles , skin irritation , warts , skin lesion , skin growth , irregular appearing scalp , skin dryness, peeling, scaliness, or roughness",Oncologist
rheumatic fever,"knee lump or mass , itchiness of eye",General Practitioner
aphthous ulcer,"headache , toothache , fever , cough , tongue lesions , mouth pain , mouth ulcer , sore throat",General Practitioner
tonsillitis,"sore throat , lump in throat , throat redness , nasal congestion , diminished hearing , throat feels tight , abnormal breathing sounds , redness in ear , swollen or red tonsils",General Practitioner
intestinal cancer,"throat feels tight , sharp abdominal pain , foot or toe swelling , diarrhea , neck mass",Oncologist
rocky mountain spotted fever,"headache , wrist pain",General Practitioner
stomach cancer,"difficulty in swallowing , sharp abdominal pain , diarrhea , vomiting , nausea , heartburn , burning abdominal pain",Oncologist
developmental disability,"depressive or psychotic symptoms , hostile behavior , restlessness , seizures , temper problems , obsessions and compulsions , difficulty speaking , fears and phobias , lack of growth , delusions or hallucinations , antisocial behavior",General Practitioner
acute stress reaction,"anxiety and nervousness , depressive or psychotic symptoms , sharp chest pain , dizziness , insomnia , burning abdominal pain , fatigue , depression , headache , abnormal involuntary movements , shortness of breath",General Practitioner
delirium,"depression , depressive or psychotic symptoms , abnormal involuntary movements , difficulty speaking , problems with movement , slurring words , disturbance of memory , focal weakness , hostile behavior , delusions or hallucinations",General Practitioner
callus,"abnormal appearing skin , skin growth , foot or toe pain , irregular appearing nails , skin rash , skin swelling , acne or pimples , foot or toe swelling , skin lesion",General Practitioner
guillain barre syndrome,"dizziness , difficulty speaking , leg pain , hand or finger pain , loss of sensation",Geneticist
lumbago,"hip pain , low back pain , side pain , low back cramps or spasms , leg pain , back pain , muscle pain",General Practitioner
deviated nasal septum,"sore throat , nasal congestion , headache , facial pain , difficulty breathing , apnea , painful sinuses , nosebleed , abnormal breathing sounds , allergic reaction",General Practitioner
hemangioma,"lip swelling , skin moles , skin swelling , skin lesion , irregular appearing scalp , lymphedema , abnormal appearing skin , irregular appearing nails , skin dryness, peeling, scaliness, or roughness , skin growth",General Practitioner
peripheral arterial disease,"leg pain , leg cramps or spasms , lymphedema , skin lesion , foot or toe pain , feeling cold , symptoms of the kidneys , poor circulation",General Practitioner
chronic back pain,"low back pain , loss of sensation , side pain , back cramps or spasms , back stiffness or tightness , leg pain , back pain , lower body pain , hip pain , neck pain , groin pain",Pain Management Specialist
heart failure,"sharp chest pain , cough , leg swelling , difficulty breathing , shortness of breath , chest tightness , weight gain , weakness , palpitations , hurts to breath , fluid retention",General Practitioner
conjunctivitis,"sore throat , cough , itchiness of eye , coryza , swollen eye , white discharge from eye , pain in eye , lacrimation , nasal congestion , eye redness , fever",General Practitioner
herniated disk,"leg pain , arm pain , back pain , neck pain , shoulder pain , arm weakness , leg weakness , low back pain , paresthesia , hip pain , loss of sensation",General Practitioner
rhabdomyolysis,"depressive or psychotic symptoms , leg pain , arm pain , hoarse voice , sharp chest pain",General Practitioner
breast infection (mastitis),"bleeding or discharge from nipple , fever , lump or mass of breast , skin growth , mouth dryness , pain or soreness of breast , abnormal appearing skin , chills , postpartum problems of the breast",Infectious Disease Specialist
abdominal aortic aneurysm,"shortness of breath , palpitations , back pain , sharp abdominal pain , arm swelling , burning abdominal pain",General Practitioner
pulmonary embolism,"chest tightness , leg pain , leg swelling , difficulty breathing , shortness of breath , weakness , side pain , sharp chest pain , cough , hemoptysis , sweating",General Practitioner
conduct disorder,"depression , depressive or psychotic symptoms , lack of growth , hostile behavior , hysterical behavior , abusing alcohol , fainting , seizures , excessive anger , temper problems",Psychiatrist
mastectomy,"arm stiffness or tightness , pain or soreness of breast , skin swelling",General Practitioner
epididymitis,"swelling of scrotum , sharp abdominal pain , painful urination , side pain , retention of urine , pain in testicles , lower body pain , groin pain , mass in scrotum",General Practitioner
premature rupture of amniotic membrane,"elbow weakness , sharp abdominal pain , uterine contractions",General Practitioner
molluscum contagiosum,"abnormal appearing skin , knee lump or mass , warts , skin swelling , skin dryness, peeling, scaliness, or roughness , itching of skin , skin lesion , acne or pimples , skin rash",General Practitioner
necrotizing fasciitis,"leg pain , hip pain , elbow weakness",General Practitioner
benign vaginal discharge (leukorrhea),"suprapubic pain , sharp abdominal pain , vaginal itching , painful urination , vaginal discharge , vaginal redness , pain during pregnancy , burning abdominal pain , problems during pregnancy , frequent urination",General Practitioner
bladder obstruction,"impotence , symptoms of bladder , hesitancy , involuntary urination , frequent urination , retention of urine , suprapubic pain , bedwetting",General Practitioner
melanoma,"skin swelling , abnormal appearing skin , skin lesion , swollen lymph nodes , skin growth , skin moles , itchy eyelid , irregular appearing scalp",General Practitioner
cervical disorder,"sharp abdominal pain , vaginal itching , pain during intercourse , pelvic pain",Psychiatrist
laryngitis,"hoarse voice , sore throat , throat feels tight , fever , coryza , difficulty speaking , cough , nasal congestion , ear pain , difficulty in swallowing",General Practitioner
dyshidrosis,"frequent urination , skin lesion , skin rash , abnormal appearing skin , acne or pimples",General Practitioner
poisoning due to opioids,"dizziness , difficulty speaking , drug abuse , depressive or psychotic symptoms",General Practitioner
diaper rash,"vomiting , diarrhea , fever , temper problems , skin rash , diaper rash , cough , nasal congestion , blood in stool , irritable infant , pulling at ears",General Practitioner
lichen planus,"difficulty speaking , abnormal appearing skin , skin growth",General Practitioner
gastroduodenal ulcer,"sharp chest pain , blood in stool , sharp abdominal pain , vomiting blood , burning abdominal pain , upper abdominal pain , changes in stool appearance , nausea , heartburn , vomiting",General Practitioner
inguinal hernia,"symptoms of the scrotum and testes , swelling of scrotum , mass in scrotum , lower abdominal pain , ache all over , swollen abdomen , groin pain , sharp abdominal pain , groin mass , pain in testicles",General Practitioner
eczema,"skin lesion , irregular appearing scalp , skin irritation , skin rash , cough , skin swelling , abnormal appearing skin , itching of skin , skin dryness, peeling, scaliness, or roughness , acne or pimples , allergic reaction , warts",General Practitioner
asperger syndrome,"hostile behavior , excessive anger , lack of growth , fainting , anxiety and nervousness , depressive or psychotic symptoms , antisocial behavior , depression",Geneticist
mucositis,"difficulty in swallowing , irritable infant , fever , mouth pain , sore throat , tongue lesions , mouth ulcer , decreased appetite",General Practitioner
paronychia,"hand or finger swelling , foot or toe pain , hand or finger lump or mass , skin on leg or foot looks infected , sinus congestion , skin on arm or hand looks infected , hand or finger pain , foot or toe swelling , abnormal appearing skin",General Practitioner
open wound of the jaw,"wrist swelling , lip swelling",General Practitioner
white blood cell disease,"cough , sharp abdominal pain , vomiting , chills , fatigue , nausea , heartburn , fever , diarrhea",General Practitioner
kaposi sarcoma,"depression , elbow weakness",General Practitioner
spondylolisthesis,"leg pain , neck pain , low back pain , problems with movement , loss of sensation , paresthesia , leg weakness , hip pain , back pain , leg cramps or spasms",General Practitioner
pseudotumor cerebri,"dizziness , abnormal involuntary movements , headache , diminished vision , pain in eye",General Practitioner
conjunctivitis due to virus,"cough , nasal congestion , white discharge from eye , eye redness , lacrimation , fever , pain in eye , itchiness of eye , swollen eye , diminished vision",General Practitioner
open wound of the nose,"diminished hearing , facial pain , nosebleed , headache",General Practitioner
AIDS,"muscle wasting, patches in throat, high fever, extra marital contacts",General Practitioner
